epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,200.579,1.43693,1.47247,0.02088,0.6425,0.67948,0.69835,0.38635,1.51625,1.34576,0.02838,0.0005941,0.0005941,0.0005941
43,205.211,1.43668,1.45898,0.02074,0.6367,0.66297,0.69593,0.36343,1.55194,1.38833,0.02948,0.0005842,0.0005842,0.0005842
44,209.809,1.415,1.44742,0.02085,0.66798,0.66014,0.70873,0.37127,1.60705,1.31036,0.03015,0.0005743,0.0005743,0.0005743
45,214.436,1.42369,1.42658,0.02058,0.6365,0.64377,0.67273,0.36687,1.52906,1.36647,0.02884,0.0005644,0.0005644,0.0005644
46,219.048,1.41297,1.46305,0.02023,0.61997,0.61119,0.61927,0.32502,1.65746,1.54369,0.03111,0.0005545,0.0005545,0.0005545
47,223.713,1.41552,1.3907,0.02044,0.64399,0.65316,0.69073,0.37819,1.54712,1.28349,0.02882,0.0005446,0.0005446,0.0005446
48,228.39,1.42637,1.41811,0.02092,0.66823,0.6548,0.7075,0.38224,1.57525,1.29919,0.02909,0.0005347,0.0005347,0.0005347
49,233.097,1.39514,1.39088,0.02055,0.61367,0.65624,0.66061,0.35786,1.57488,1.37328,0.0303,0.0005248,0.0005248,0.0005248
50,237.803,1.39746,1.40888,0.02002,0.73237,0.61844,0.71959,0.39228,1.51472,1.28019,0.02841,0.0005149,0.0005149,0.0005149
51,242.567,1.41123,1.39894,0.02085,0.66907,0.64483,0.69778,0.3942,1.49264,1.28481,0.02816,0.000505,0.000505,0.000505
52,247.186,1.39663,1.38384,0.01992,0.61353,0.63164,0.65106,0.34412,1.64901,1.40781,0.03089,0.0004951,0.0004951,0.0004951
53,251.777,1.42221,1.40714,0.02088,0.68098,0.6288,0.71011,0.38283,1.54141,1.29915,0.02865,0.0004852,0.0004852,0.0004852
54,256.473,1.39691,1.38903,0.02013,0.65128,0.66703,0.7025,0.38662,1.50307,1.275,0.02821,0.0004753,0.0004753,0.0004753
55,261.197,1.40357,1.35914,0.02025,0.6748,0.67241,0.70418,0.39422,1.5233,1.30537,0.0284,0.0004654,0.0004654,0.0004654
56,265.915,1.37929,1.35206,0.01991,0.68021,0.66905,0.7149,0.3984,1.49495,1.28344,0.02832,0.0004555,0.0004555,0.0004555
57,270.529,1.39597,1.35222,0.02038,0.65182,0.63511,0.68441,0.37278,1.51745,1.30985,0.02852,0.0004456,0.0004456,0.0004456
58,275.191,1.40135,1.36206,0.02023,0.6913,0.66589,0.71185,0.3882,1.49981,1.2652,0.02832,0.0004357,0.0004357,0.0004357
59,279.931,1.3629,1.35683,0.01966,0.68535,0.66267,0.71816,0.39833,1.4868,1.26955,0.02818,0.0004258,0.0004258,0.0004258
60,284.677,1.40419,1.34273,0.02018,0.67666,0.6486,0.71263,0.39399,1.507,1.25488,0.02891,0.0004159,0.0004159,0.0004159
61,289.307,1.37649,1.33077,0.02,0.68448,0.6536,0.71441,0.39057,1.56876,1.26996,0.02999,0.000406,0.000406,0.000406
62,293.921,1.39285,1.34235,0.01999,0.69434,0.61976,0.69284,0.38645,1.55646,1.26988,0.02963,0.0003961,0.0003961,0.0003961
63,298.591,1.38258,1.32424,0.01977,0.67147,0.68318,0.73358,0.40531,1.50036,1.20626,0.02876,0.0003862,0.0003862,0.0003862
64,303.262,1.3776,1.31047,0.0196,0.75868,0.63939,0.73651,0.40897,1.53593,1.19071,0.02894,0.0003763,0.0003763,0.0003763
65,308.044,1.38196,1.32401,0.01971,0.75533,0.63795,0.74168,0.41402,1.51997,1.21278,0.02892,0.0003664,0.0003664,0.0003664
66,312.826,1.37484,1.30287,0.01959,0.73459,0.66471,0.73782,0.40782,1.51775,1.18799,0.02863,0.0003565,0.0003565,0.0003565
67,317.511,1.36561,1.27414,0.01984,0.76525,0.64027,0.73503,0.40456,1.50984,1.197,0.02852,0.0003466,0.0003466,0.0003466
68,322.122,1.37764,1.3259,0.01983,0.69337,0.6431,0.71031,0.39111,1.53421,1.24811,0.02923,0.0003367,0.0003367,0.0003367
69,326.767,1.37558,1.33849,0.01975,0.67351,0.64824,0.70296,0.38852,1.56145,1.28423,0.029,0.0003268,0.0003268,0.0003268
70,331.372,1.36187,1.27018,0.01942,0.73139,0.65659,0.73202,0.40468,1.51045,1.21986,0.02845,0.0003169,0.0003169,0.0003169
71,336.013,1.34483,1.26777,0.01903,0.69696,0.67506,0.71577,0.3887,1.54865,1.28233,0.02896,0.000307,0.000307,0.000307
72,340.602,1.3523,1.28479,0.01937,0.72752,0.66595,0.72312,0.39824,1.53446,1.21282,0.02904,0.0002971,0.0002971,0.0002971
73,345.209,1.35194,1.27397,0.01929,0.69285,0.65813,0.70948,0.38409,1.60162,1.28227,0.02967,0.0002872,0.0002872,0.0002872
74,349.875,1.36433,1.26861,0.01932,0.73269,0.67508,0.74034,0.41016,1.5195,1.20282,0.02856,0.0002773,0.0002773,0.0002773
75,354.51,1.34734,1.27237,0.01967,0.70161,0.69268,0.74617,0.40405,1.51646,1.22145,0.029,0.0002674,0.0002674,0.0002674
76,359.091,1.36795,1.32175,0.01965,0.75272,0.65417,0.73071,0.40148,1.50079,1.23384,0.02858,0.0002575,0.0002575,0.0002575
77,363.709,1.33549,1.25714,0.01959,0.69963,0.6368,0.69944,0.37875,1.57173,1.25531,0.02947,0.0002476,0.0002476,0.0002476
78,368.419,1.35449,1.29991,0.01925,0.64028,0.68501,0.71433,0.39772,1.51446,1.24906,0.0288,0.0002377,0.0002377,0.0002377
79,373.095,1.34016,1.2629,0.01904,0.66491,0.6387,0.69649,0.38121,1.57021,1.2943,0.02922,0.0002278,0.0002278,0.0002278
80,377.797,1.32915,1.27217,0.01938,0.6675,0.68476,0.72222,0.40038,1.53228,1.21885,0.02907,0.0002179,0.0002179,0.0002179
81,382.446,1.3158,1.23615,0.01862,0.69091,0.64973,0.70346,0.39456,1.54029,1.2394,0.02902,0.000208,0.000208,0.000208
82,387.07,1.34207,1.24862,0.01927,0.67417,0.67635,0.72055,0.40249,1.53049,1.23164,0.02839,0.0001981,0.0001981,0.0001981
83,391.807,1.34646,1.24444,0.01915,0.68638,0.65995,0.71691,0.39871,1.5372,1.22666,0.0291,0.0001882,0.0001882,0.0001882
84,396.44,1.33142,1.229,0.01946,0.69722,0.67749,0.73086,0.40432,1.53801,1.19626,0.02915,0.0001783,0.0001783,0.0001783
85,401.053,1.30736,1.25464,0.01898,0.70631,0.68948,0.73238,0.40989,1.52491,1.20332,0.02878,0.0001684,0.0001684,0.0001684
86,405.763,1.33073,1.24958,0.01933,0.69986,0.67418,0.72716,0.40019,1.56236,1.20037,0.0295,0.0001585,0.0001585,0.0001585
87,410.371,1.31903,1.2303,0.01846,0.7013,0.67935,0.73288,0.40865,1.51701,1.19303,0.02867,0.0001486,0.0001486,0.0001486
88,414.964,1.30935,1.25044,0.01888,0.7128,0.68417,0.73336,0.40559,1.55688,1.17371,0.02941,0.0001387,0.0001387,0.0001387
89,419.727,1.31986,1.25489,0.01826,0.67946,0.70952,0.73535,0.41075,1.52217,1.18567,0.02863,0.0001288,0.0001288,0.0001288
90,424.48,1.31888,1.24053,0.01896,0.69672,0.69327,0.73822,0.41213,1.51595,1.18397,0.02853,0.0001189,0.0001189,0.0001189
91,429.581,1.34519,1.17592,0.02555,0.71435,0.69886,0.7426,0.40302,1.54274,1.19577,0.02928,0.000109,0.000109,0.000109
92,434.275,1.30904,1.10967,0.02451,0.69617,0.6934,0.73602,0.39953,1.56337,1.22518,0.02931,9.91e-05,9.91e-05,9.91e-05
93,438.958,1.29191,1.06229,0.02406,0.69751,0.71319,0.73784,0.41061,1.53546,1.19381,0.02912,8.92e-05,8.92e-05,8.92e-05
94,443.667,1.2816,1.05892,0.02391,0.73171,0.69986,0.74405,0.4122,1.53404,1.17913,0.02934,7.93e-05,7.93e-05,7.93e-05
95,448.304,1.29305,1.06629,0.02367,0.73748,0.69605,0.75287,0.41853,1.51803,1.16218,0.02894,6.94e-05,6.94e-05,6.94e-05
96,452.963,1.26696,1.03441,0.02354,0.71975,0.7001,0.74307,0.41552,1.52177,1.18036,0.02871,5.95e-05,5.95e-05,5.95e-05
97,457.548,1.28023,1.05112,0.02368,0.75185,0.69533,0.74597,0.41347,1.52894,1.17513,0.02897,4.96e-05,4.96e-05,4.96e-05
98,462.162,1.27197,1.04526,0.02318,0.75521,0.69136,0.74618,0.41331,1.53644,1.16799,0.029,3.97e-05,3.97e-05,3.97e-05
99,466.892,1.27747,1.06167,0.02342,0.74416,0.6961,0.74548,0.41618,1.53053,1.15974,0.02902,2.98e-05,2.98e-05,2.98e-05
100,471.575,1.25737,1.03636,0.02317,0.75241,0.69182,0.74589,0.41632,1.5264,1.15709,0.02884,1.99e-05,1.99e-05,1.99e-05
